user,source_item
571,3478
571,3518
571,3533
2348,3478
2348,3518
2348,3533
815,3478
815,3518
815,3533
1789,3478
1789,3518
1789,3533
2803,3478
2803,3518
2803,3533
1832,3478
1832,3518
1832,3533
842,3478
842,3518
842,3533
909,3478
909,3518
909,3533
2650,3478
2650,3518
2650,3533
2301,3478
2301,3518
2301,3533
1011,3478
1011,3518
1011,3533
2456,3478
2456,3518
2456,3533
2562,3478
2562,3518
2562,3533
1206,3478
1206,3518
1206,3533
2717,3478
2717,3518
2717,3533
2044,3478
2044,3518
2044,3533
377,3478
377,3518
377,3533
1549,3478
1549,3518
1549,3533
888,3478
888,3518
888,3533
1209,3478
1209,3518
1209,3533
839,3478
839,3518
839,3533
2380,3478
2380,3518
2380,3533
1801,3478
1801,3518
1801,3533
245,3478
245,3518
245,3533
2638,3478
2638,3518
2638,3533
2800,3478
2800,3518
2800,3533
2054,3478
2054,3518
2054,3533
1421,3478
1421,3518
1421,3533
2310,3478
2310,3518
2310,3533
2666,3478
2666,3518
2666,3533
2626,3478
2626,3518
2626,3533
369,3478
369,3518
369,3533
2382,3478
2382,3518
2382,3533
2692,3478
2692,3518
2692,3533
2520,3478
2520,3518
2520,3533
2250,3478
2250,3518
2250,3533
486,3478
486,3518
486,3533
813,3478
813,3518
813,3533
2507,3478
2507,3518
2507,3533
96,3478
96,3518
96,3533
1581,3478
1581,3518
1581,3533
1984,3478
1984,3518
1984,3533
2637,3478
2637,3518
2637,3533
1380,3478
1380,3518
1380,3533
2671,3478
2671,3518
2671,3533
872,3478
872,3518
872,3533
2070,3478
2070,3518
2070,3533
30,3478
30,3518
30,3533
445,3478
445,3518
445,3533
1170,3478
1170,3518
1170,3533
2216,3478
2216,3518
2216,3533
816,3478
816,3518
816,3533
1578,3478
1578,3518
1578,3533
884,3478
884,3518
884,3533
941,3478
941,3518
941,3533
1195,3478
1195,3518
1195,3533
349,3478
349,3518
349,3533
1802,3478
1802,3518
1802,3533
683,3478
683,3518
683,3533
393,3478
393,3518
393,3533
2033,3478
2033,3518
2033,3533
561,3478
561,3518
561,3533
2565,3478
2565,3518
2565,3533
1523,3478
1523,3518
1523,3533
1940,3478
1940,3518
1940,3533
184,3478
184,3518
184,3533
1969,3478
1969,3518
1969,3533
2122,3478
2122,3518
2122,3533
2478,3478
2478,3518
2478,3533
859,3478
859,3518
859,3533
1762,3478
1762,3518
1762,3533
61,3478
61,3518
61,3533
1693,3478
1693,3518
1693,3533
912,3478
912,3518
912,3533
2400,3478
2400,3518
2400,3533
614,3478
614,3518
614,3533
522,3478
522,3518
522,3533
2021,3478
2021,3518
2021,3533
1967,3478
1967,3518
1967,3533
2178,3478
2178,3518
2178,3533
2316,3478
2316,3518
2316,3533
1100,3478
1100,3518
1100,3533
2491,3478
2491,3518
2491,3533
2699,3478
2699,3518
2699,3533
2605,3478
2605,3518
2605,3533
2069,3478
2069,3518
2069,3533
2192,3478
2192,3518
2192,3533
2438,3478
2438,3518
2438,3533
1582,3478
1582,3518
1582,3533
2264,3478
2264,3518
2264,3533
1919,3478
1919,3518
1919,3533
1471,3478
1471,3518
1471,3533
2091,3478
2091,3518
2091,3533
2751,3478
2751,3518
2751,3533
913,3478
913,3518
913,3533
794,3478
794,3518
794,3533
1756,3478
1756,3518
1756,3533
554,3478
554,3518
554,3533
698,3478
698,3518
698,3533
2304,3478
2304,3518
2304,3533
853,3478
853,3518
853,3533
1175,3478
1175,3518
1175,3533
1900,3478
1900,3518
1900,3533
656,3478
656,3518
656,3533
1240,3478
1240,3518
1240,3533
425,3478
425,3518
425,3533
2760,3478
2760,3518
2760,3533
1976,3478
1976,3518
1976,3533
694,3478
694,3518
694,3533
502,3478
502,3518
502,3533
585,3478
585,3518
585,3533
962,3478
962,3518
962,3533
1700,3478
1700,3518
1700,3533
398,3478
398,3518
398,3533
62,3478
62,3518
62,3533
118,3478
118,3518
118,3533
2461,3478
2461,3518
2461,3533
330,3478
330,3518
330,3533
1771,3478
1771,3518
1771,3533
1829,3478
1829,3518
1829,3533
492,3478
492,3518
492,3533
2045,3478
2045,3518
2045,3533
2418,3478
2418,3518
2418,3533
1602,3478
1602,3518
1602,3533
2387,3478
2387,3518
2387,3533
2719,3478
2719,3518
2719,3533
849,3478
849,3518
849,3533
1322,3478
