user,target_item
571,2824
2348,2824
815,2824
1789,2824
2803,2824
1832,2824
842,2824
909,2824
2650,2824
2301,2824
1011,2824
2456,2824
2562,2824
1206,2824
2717,2824
2044,2824
377,2824
1549,2824
888,2824
1209,2824
839,2824
2380,2824
1801,2824
245,2824
2638,2824
2800,2824
2054,2824
1421,2824
2310,2824
2666,2824
2626,2824
369,2824
2382,2824
2692,2824
2520,2824
2250,2824
486,2824
813,2824
2507,2824
96,2824
1581,2824
1984,2824
2637,2824
1380,2824
2671,2824
872,2824
2070,2824
30,2824
445,2824
1170,2824
2216,2824
816,2824
1578,2824
884,2824
941,2824
1195,2824
349,2824
1802,2824
683,2824
393,2824
2033,2824
561,2824
2565,2824
1523,2824
1940,2824
184,2824
1969,2824
2122,2824
2478,2824
859,2824
1762,2824
61,2824
1693,2824
912,2824
2400,2824
614,2824
522,2824
2021,2824
1967,2824
2178,2824
2316,2824
1100,2824
2491,2824
2699,2824
2605,2824
2069,2824
2192,2824
2438,2824
1582,2824
2264,2824
1919,2824
1471,2824
2091,2824
2751,2824
913,2824
794,2824
1756,2824
554,2824
698,2824
2304,2824
853,2824
1175,2824
1900,2824
656,2824
1240,2824
425,2824
2760,2824
1976,2824
694,2824
502,2824
585,2824
962,2824
1700,2824
398,2824
62,2824
118,2824
2461,2824
330,2824
1771,2824
1829,2824
492,2824
2045,2824
2418,2824
1602,2824
2387,2824
2719,2824
849,2824
1322,2824
1952,2824
1361,2824
889,2824
657,2824
346,2824
391,2824
1205,2824
341,2824
2427,2824
1223,2824
2540,2824
2050,2824
2279,2824
1052,2824
464,2824
662,2824
1317,2824
132,2824
1887,2824
2598,2824
1328,2824
69,2824
1544,2824
1646,2824
1904,2824
1436,2824
651,2824
1834,2824
2631,2824
691,2824
2725,2824
1249,2824
2522,2824
2465,2824
814,2824
1112,2824
2223,2824
337,2824
2644,2824
388,2824
194,2824
601,2824
528,2824
2066,2824
2648,2824
334,2824
986,2824
1784,2824
2739,2824
2419,2824
2693,2824
2697,2824
1375,2824
1402,2824
559,2824
1812,2824
1423,2824
781,2824
1587,2824
2534,2824
1394,2824
2730,2824
1079,2824
2783,2824
1910,2824
525,2824
1301,2824
1928,2824
2315,2824
1719,2824
1364,2824
1022,2824
196,2824
1566,2824
1856,2824
2656,2824
1404,2824
2712,2824
1227,2824
2040,2824
2291,2824
371,2824
119,2824
1985,2824
1176,2824
974,2824
1572,2824
2424,2824
1272,2824
1203,2824
282,2824
352,2824
1966,2824
1264,2824
752,2824
1398,2824
828,2824
1883,2824
2680,2824
1512,2824
2259,2824
792,2824
2661,2824
1682,2824
1670,2824
633,2824
2340,2824
2067,2824
2740,2824
2572,2824
2313,2824
1285,2824
2236,2824
1713,2824
1064,2824
2212,2824
727,2824
1530,2824
902,2824
2145,2824
17,2824
2269,2824
966,2824
837,2824
648,2824
2538,2824
605,2824
2640,2824
1483,2824
2571,2824
2089,2824
2409,2824
2324,2824
985,2824
2007,2824
616,2824
1804,2824
2482,2824
1994,2824
1200,2824
2207,2824
476,2824
1277,2824
1275,2824
1228,2824
2559,2824
2133,2824
450,2824
704,2824
1772,2824
2619,2824
2143,2824
1410,2824
